Playlist Title,Playlist Url,Video Title,Video Url,Video Views,Video Likes
JALISCO - AXM,https://www.youtube.com/watch?v=psXF9ovLBQ4&list=PLcWg1WeHg9uiXtFoTD1dHUilKgZTuaSca,Redescubriendo Puerto Vallarta #1,https://www.youtube.com/watch?v=psXF9ovLBQ4&list=PLcWg1WeHg9uiXtFoTD1dHUilKgZTuaSca&index=1,"1,1 M",9957
EN VIVO,https://www.youtube.com/watch?v=qMXjpPSL-tE&list=PLcWg1WeHg9ujectHzzr8-tZoP32kX8tus,Respondiendo sus dudas de viaje.,https://www.youtube.com/watch?v=qMXjpPSL-tE&list=PLcWg1WeHg9ujectHzzr8-tZoP32kX8tus&index=1,459.650,9755
TAIWAN - AXM,https://www.youtube.com/watch?v=iH7HiFOa_Q0&list=PLcWg1WeHg9ujOokWVhFjJM4zBkRv7cdkr,Hola Taiwán! | Taiwán #1,https://www.youtube.com/watch?v=iH7HiFOa_Q0&list=PLcWg1WeHg9ujOokWVhFjJM4zBkRv7cdkr&index=1,495.026,9558
TIPS DE VIAJE,https://www.youtube.com/watch?v=his4ICQRnwE&list=PL78F4A23299D2DDA9,MITOS SOBRE LOS HOSTALES,https://www.youtube.com/watch?v=his4ICQRnwE&list=PL78F4A23299D2DDA9&index=1,359.505,9441
Baja California Sur,https://www.youtube.com/watch?v=3f4AUYn1rxc&list=PLcWg1WeHg9ugWxQJxVRWGethqeBi9ojaw,Cabo San Lucas - Los Cabos #1,https://www.youtube.com/watch?v=3f4AUYn1rxc&list=PLcWg1WeHg9ugWxQJxVRWGethqeBi9ojaw&index=1,999.722,9305
Bélgica y Luxemburgo - AXM,https://www.youtube.com/watch?v=dNf5lgZspyo&list=PLcWg1WeHg9uhDVnsbXBlkbEsym2EPlasX,Hola Luxemburgo! | Bélgica y Luxemburgo #1,https://www.youtube.com/watch?v=dNf5lgZspyo&list=PLcWg1WeHg9uhDVnsbXBlkbEsym2EPlasX&index=1,603.767,9264
Uganda Y Ruanda - AXM,https://www.youtube.com/watch?v=i3dLPuvlAUE&list=PLcWg1WeHg9ui0qwvVnN4dPzeZoMorVGgq,Me voy a...,https://www.youtube.com/watch?v=i3dLPuvlAUE&list=PLcWg1WeHg9ui0qwvVnN4dPzeZoMorVGgq&index=1,213.479,8184
CHICAGO,https://www.youtube.com/watch?v=kIwa1AnuWAc&list=PLcWg1WeHg9uimxlEh7fdeXRHivg2yZ_GJ,La mejor pizza! Chicago #1,https://www.youtube.com/watch?v=kIwa1AnuWAc&list=PLcWg1WeHg9uimxlEh7fdeXRHivg2yZ_GJ&index=1,452.472,8159
Alan x el mundo - NEPAL,https://www.youtube.com/watch?v=59_a-SphUWI&list=PLcWg1WeHg9uh2gleSnEDQZYVCZ-C_7mKK,Bienvenido a Nepal #1,https://www.youtube.com/watch?v=59_a-SphUWI&list=PLcWg1WeHg9uh2gleSnEDQZYVCZ-C_7mKK&index=1,292.635,7927
ITALIA | Alan por el mundo,https://www.youtube.com/watch?v=m5Gn4zrgHt4&list=PLcWg1WeHg9uijg2HxVhtziGY80JJrUM_a,Me voy a Italia!,https://www.youtube.com/watch?v=m5Gn4zrgHt4&list=PLcWg1WeHg9uijg2HxVhtziGY80JJrUM_a&index=1,734.661,7643
